combination,fundinglevel,variance,category,funding,moe
1,100,5.394018226,100,14.72540319,15.08339612
2,100,18.25754788,100,49.84220343,63.95452613
3,100,23.6515661,100,64.56760662,166.8954342
4,100,5.731396337,100,15.64642876,58.7422942
5,100,11.12541456,100,30.37183195,119.7122923
6,100,23.98894421,100,65.48863219,39.35485292
7,100,29.38296244,100,80.21403538,169.9719386
8,100,11.70141365,100,31.94428098,88.05785203
9,100,17.09543187,100,46.66968417,74.71082424
10,100,29.95896152,100,81.78648441,74.45960775
11,100,35.35297975,100,96.5118876,269.147839
12,100,17.43280998,100,47.59070974,150.0931057
13,100,22.82682821,100,62.31611293,242.9353585
14,100,35.69035786,100,97.43291317,273.645394
15,100,41.08437609,100,112.1583164,204.0800735
16,100,13.87234056,100,37.87080417,54.69742092
17,100,19.26635879,100,52.59620736,40.94442234
18,100,32.12988844,100,87.7130076,6.116993984
19,100,37.52390666,100,102.4384108,169.8163343
20,100,19.6037369,100,53.51723293,2.418173313
21,100,24.99775512,100,68.24263612,21.19953524
22,100,37.86128477,100,103.3594364,66.62299127
23,100,43.255303,100,118.0848396,44.39614173
24,100,25.57375421,100,69.81508515,129.1048915
25,100,30.96777243,100,84.54048834,270.5312003
26,100,43.83130208,100,119.6572886,248.1277259
27,100,49.22532031,100,134.3826918,137.9841771
28,100,31.30515054,100,85.46151391,229.3585232
29,100,36.69916877,100,100.1869171,325.9839483
30,100,49.56269842,100,135.3037173,92.03582214
31,100,54.95671665,100,150.0291205,80.42967881
32,100,2.806279325,100,7.661003873,57.64377633
33,100,8.200297551,100,22.38640706,188.1811786
34,100,21.0638272,100,57.5032073,29.20972802
35,100,26.45784543,100,72.22861049,264.602988
36,100,8.537675662,100,23.30743263,23.01491784
37,100,13.93169389,100,38.03283582,135.9709849
38,100,26.79522354,100,73.14963606,18.1078822
39,100,32.18924177,100,87.87503925,217.9634879
40,100,14.50769297,100,39.60528485,144.1450383
41,100,19.9017112,100,54.33068804,16.01196605
42,100,32.76524085,100,89.44748828,74.55791487
43,100,38.15925907,100,104.1728915,122.4083434
44,100,20.23908931,100,55.25171361,211.2593355
45,100,25.63310754,100,69.9771168,211.4649042
46,100,38.49663719,100,105.093917,157.3732304
47,100,43.89065541,100,119.8193202,132.9870016
48,100,16.67861989,100,45.53180804,23.43497242
49,100,22.07263811,100,60.25721123,66.34889239
50,100,34.93616776,100,95.37401147,150.8738967
51,100,40.33018599,100,110.0994147,229.3976673
52,100,22.41001622,100,61.1782368,90.77260587
53,100,27.80403445,100,75.90363999,153.2518305
54,100,40.6675641,100,111.0204402,232.2398671
55,100,46.06158233,100,125.7458434,128.5128163
56,100,28.38003353,100,77.47608902,101.1882153
57,100,33.77405176,100,92.20149221,63.50964004
58,100,46.63758141,100,127.3182925,262.008562
59,100,52.03159964,100,142.0436956,394.754806
60,100,34.11142987,100,93.12251778,212.1091925
61,100,39.5054481,100,107.847921,475.9966327
62,100,52.36897775,100,142.9647212,354.7335963
63,100,57.76299597,100,157.6901244,59.78802127
64,100,16.20576652,100,44.24094172,18.40328717
65,100,21.59978475,100,58.96634491,161.6307482
66,100,34.4633144,100,94.08314515,96.83768936
67,100,39.85733262,100,108.8085483,93.66122127
68,100,21.93716286,100,59.88737048,163.1755214
69,100,27.33118108,100,74.61277367,9.049403118
70,100,40.19471073,100,109.7295739,298.9983387
71,100,45.58872896,100,124.4549771,232.7599126
72,100,27.90718017,100,76.1852227,129.691085
73,100,33.30119839,100,90.91062589,53.82574888
74,100,46.16472804,100,126.0274261,256.4808518
75,100,51.55874627,100,140.7528293,73.29718899
76,100,33.6385765,100,91.83165146,14.85183749
77,100,39.03259473,100,106.5570547,192.7454507
78,100,51.89612438,100,141.6738549,179.9075341
79,100,57.29014261,100,156.3992581,265.4553792
80,100,30.07810708,100,82.11174589,62.10856438
81,100,35.47212531,100,96.83714908,228.5242442
82,100,48.33565496,100,131.9539493,204.5749387
83,100,53.72967318,100,146.6793525,70.36359276
84,100,35.80950342,100,97.75817465,96.81423992
85,100,41.20352164,100,112.4835778,256.6678289
86,100,54.06705129,100,147.6003781,81.48046003
87,100,59.46106952,100,162.3257813,240.5674723
88,100,41.77952073,100,114.0560269,212.8273221
89,100,47.17353895,100,128.7814301,261.6024898
90,100,60.0370686,100,163.8982303,43.13082767
91,100,65.43108683,100,178.6236335,89.67979654
92,100,47.51091706,100,129.7024556,164.0124403
93,100,52.90493529,100,144.4278588,221.9384937
94,100,65.76846494,100,179.5446591,412.3846586
95,100,71.16248317,100,194.2700623,335.0787383
96,100,19.01204584,100,51.90194559,8.030669482
97,100,24.40606407,100,66.62734878,164.5122237
98,100,37.26959372,100,101.744149,105.430237
99,100,42.66361195,100,116.4695522,123.0884541
100,100,24.74344218,100,67.54837435,101.0522835
101,100,30.13746041,100,82.27377754,277.2096501
102,100,43.00099006,100,117.3905778,38.34441776
103,100,48.39500828,100,132.115981,300.7418112
104,100,30.71345949,100,83.84622657,218.4209248
105,100,36.10747772,100,98.57162976,387.8774007
106,100,48.97100737,100,133.68843,217.3621847
107,100,54.36502559,100,148.4138332,120.878744
108,100,36.44485583,100,99.49265533,232.3598261
109,100,41.83887405,100,114.2180585,488.0753781
110,100,54.7024037,100,149.3348588,130.3442141
111,100,60.09642193,100,164.060262,355.909728
112,100,32.8843864,100,89.77274976,82.64904333
113,100,38.27840463,100,104.498153,34.990304
114,100,51.14193428,100,139.6149532,36.30418208
115,100,56.53595251,100,154.3403564,229.9315426
116,100,38.61578274,100,105.4191785,330.2020593
117,100,44.00980097,100,120.1445817,451.9264064
118,100,56.87333062,100,155.261382,409.3472308
119,100,62.26734885,100,169.9867851,199.8284029
120,100,44.58580005,100,121.7170307,278.4512927
121,100,49.97981828,100,136.4424339,97.8261014
122,100,62.84334793,100,171.5592342,112.4258467
123,100,68.23736615,100,186.2846374,387.8904066
124,100,50.31719639,100,137.3634595,192.1716529
125,100,55.71121461,100,152.0888627,201.5870793
126,100,68.57474427,100,187.2056629,340.8182948
127,100,73.96876249,100,201.9310661,88.38164838
128,100,10.65728221,100,29.09385377,56.07572614
129,100,16.05130044,100,43.81925696,150.9221742
130,100,28.91483009,100,78.9360572,141.1905338
131,100,34.30884832,100,93.66146039,265.6828641
132,100,16.38867855,100,44.74028253,33.80660446
133,100,21.78269678,100,59.46568572,95.14403964
134,100,34.64622643,100,94.58248596,257.3627526
135,100,40.04024465,100,109.3078892,184.7599555
136,100,22.35869586,100,61.03813475,132.4326146
137,100,27.75271409,100,75.76353794,297.8583434
138,100,40.61624374,100,110.8803382,234.692472
139,100,46.01026196,100,125.6057414,335.5677047
140,100,28.0900922,100,76.68456351,30.97121959
141,100,33.48411042,100,91.4099667,87.9197902
142,100,46.34764007,100,126.5267669,305.8736496
143,100,51.7416583,100,141.2521701,141.6231466
144,100,24.52962277,100,66.96465794,12.6970202
145,100,29.923641,100,81.69006113,168.3458471
146,100,42.78717065,100,116.8068614,227.1979831
147,100,48.18118888,100,131.5322646,227.6249691
148,100,30.26101911,100,82.6110867,94.36605237
149,100,35.65503734,100,97.33648989,137.8801602
150,100,48.51856699,100,132.4532901,20.32960949
151,100,53.91258522,100,147.1786933,257.9030082
152,100,36.23103642,100,98.90893892,299.6754259
153,100,41.62505465,100,113.6343421,151.5495618
154,100,54.4885843,100,148.7511424,43.32825274
155,100,59.88260252,100,163.4765455,431.0805396
156,100,41.96243276,100,114.5553677,377.8046627
157,100,47.35645098,100,129.2807709,159.5101067
158,100,60.21998064,100,164.3975711,263.2916395
159,100,65.61399886,100,179.1229743,315.6647528
160,100,13.46356154,100,36.75485764,170.1809541
161,100,18.85757977,100,51.48026083,81.54210148
162,100,31.72110942,100,86.59706107,192.0171192
163,100,37.11512764,100,101.3224643,338.3218219
164,100,19.19495788,100,52.4012864,265.4428383
165,100,24.5889761,100,67.12668959,322.5389171
166,100,37.45250575,100,102.2434898,53.20136883
167,100,42.84652398,100,116.968893,459.4457722
168,100,25.16497519,100,68.69913862,256.9437996
169,100,30.55899341,100,83.42454181,37.11803648
170,100,43.42252306,100,118.5413421,185.5480034
171,100,48.81654129,100,133.2667452,403.6511845
172,100,30.89637152,100,84.34556738,128.3502692
173,100,36.29038975,100,99.07097057,437.7500634
174,100,49.1539194,100,134.1877708,143.7525696
175,100,54.54793763,100,148.913174,217.4748904
176,100,27.3359021,100,74.62566181,267.8851179
177,100,32.72992033,100,89.351065,92.62038743
178,100,45.59344998,100,124.4678652,162.4542857
179,100,50.9874682,100,139.1932684,274.7129826
180,100,33.06729844,100,90.27209057,66.9769831
181,100,38.46131666,100,104.9974938,157.8440765
182,100,51.32484631,100,140.114294,7.473493853
183,100,56.71886454,100,154.8396972,59.46507886
184,100,39.03731575,100,106.5699428,81.06489211
185,100,44.43133397,100,121.295346,7.575810799
186,100,57.29486362,100,156.4121462,75.48513122
187,100,62.68888185,100,171.1375494,301.4220253
188,100,44.76871208,100,122.2163716,494.8891284
189,100,50.16273031,100,136.9417747,363.9248427
190,100,63.02625996,100,172.058575,248.0957149
191,100,68.42027819,100,186.7839782,88.596389
192,100,26.86304873,100,73.33479549,83.98552422
193,100,32.25706696,100,88.06019868,285.3831952
194,100,45.12059661,100,123.1769989,89.94198693
