combination,fundinglevel,variance,category,funding,moe
1,100,69,100,47,158
2,100,10,100,44,291
3,100,47,100,24,134
4,100,140,100,24,283
5,100,90,100,35,278
6,100,13,100,5,236
7,100,42,100,47,119
8,100,65,100,36,160
9,100,12,100,50,30
10,100,31,100,20,263
11,100,33,100,26,172
12,100,17,100,46,93
13,100,30,100,20,154
14,100,10,100,35,98
15,100,34,100,44,112
16,100,25,100,10,55
17,100,36,100,7,162
18,100,63,100,33,254
19,100,21,100,42,225
20,100,12,100,30,33
21,100,30,100,15,100
22,100,27,100,47,219
23,100,84,100,14,219
24,100,18,100,10,126
25,100,24,100,17,200
26,100,14,100,39,254
27,100,23,100,16,61
28,100,16,100,50,246
29,100,15,100,35,128
30,100,46,100,30,130
31,100,10,100,15,21
32,100,39,100,15,95
33,100,15,100,24,63
34,100,123,100,38,251
35,100,12,100,18,137
36,100,59,100,18,267
37,100,12,100,45,45
38,100,67,100,48,228
39,100,26,100,5,230
40,100,65,100,39,227
41,100,26,100,44,254
42,100,68,100,26,299
43,100,83,100,41,260
44,100,16,100,47,246
45,100,104,100,47,259
46,100,97,100,40,280
47,100,15,100,18,124
48,100,20,100,43,53
49,100,40,100,38,94
50,100,12,100,34,24
51,100,46,100,27,113
52,100,76,100,12,251
53,100,45,100,31,235
54,100,21,100,34,144
55,100,36,100,48,152
56,100,20,100,15,76
57,100,47,100,47,151
58,100,11,100,15,25
59,100,27,100,18,81
60,100,16,100,6,239
61,100,13,100,16,30
62,100,72,100,33,229
63,100,20,100,49,41
64,100,47,100,23,224
65,100,63,100,50,282
66,100,77,100,27,268
67,100,45,100,17,153
68,100,58,100,36,136
69,100,12,100,34,61
70,100,38,100,15,269
71,100,14,100,8,37
72,100,59,100,38,126
73,100,17,100,16,44
74,100,39,100,27,228
75,100,41,100,22,286
76,100,11,100,40,37
77,100,57,100,39,114
78,100,16,100,27,125
79,100,50,100,12,104
80,100,86,100,21,253
81,100,109,100,50,256
82,100,45,100,7,148
83,100,12,100,15,54
84,100,75,100,30,278
85,100,49,100,34,233
86,100,33,100,39,125
87,100,102,100,42,248
